organizationLabel,officeholderLabel,confidence,answer,eval
European Parliament Committee on Employment and Social Affairs,Lucia Ďuriš Nicholsonová,,,False
European Parliament Committee on Fisheries,Pierre Karleskind,High,Pierre Karleskind,False
"European Parliament Committee on Industry, Research and Energy",Cristian Bușoi,,,False
European Parliament Committee on Internal Market and Consumer Protection,Vicky Ford,medium,Anna Cavazzini,True
European Parliament Committee on International Trade,Bernd Lange,High,Bernd Lange,True
European Parliament Committee on Legal Affairs,Adrián Vázquez Lázara,,,False
European Parliament Committee on Petitions,Cecilia Wikström,Low,Unknown,False
European Parliament Committee on Transport and Tourism,Karima Delli,high,Karima Delli,False
"European Parliament Committee on the Environment, Public Health and Food Safety",Pascal Canfin,high,Pascal Canfin,False
European People's Party Group,Manfred Weber,High,Manfred Weber,True
European Public Prosecutor's Office,Laura Codruța Kövesi,high,Laura Kövesi,True
European Research Council,Maria Leptin,,,False
European Rowing Confederation,Annamarie Stapleton,high,Jean-Christophe Rolland,False
European Securities and Markets Authority,Verena Ross,high,Verena Ross,True
European Shooting Confederation,Vladimir Lisin,low,None,False
European Space Agency,Josef Aschbacher,,,False
European Systemic Risk Board,Christine Lagarde,High,Andrea Enria,False
European Training Foundation,Pilvi Torsti,,,False
European Union Agency for Fundamental Rights,Sirpa Rautio,high,Michael O'Flaherty,False
European Union Agency for Railways,Josef Doppelbauer,high,Josef Doppelbauer,False
European Union of Mountaineering Associations,Roland Stierle,Low,Unknown,False
European Writers' Council,Miguel Ángel Serrano,,,False
Euroscience,Enric Banda,,,False
FIDE,Arkady Dvorkovich,High,,False
FIFA,Gianni Infantino Riovaldi,high,Gianni Infantino,True
Federazione Italiana Sportiva Istituti Attività Educative,Lodovico Morell S.J.,,,False
Financial Stability Institute,Fernando Restoy,,,False
Focolare Movement,Margaret Karram,High,Margaret Karram,True
Foreign Affairs Council,Federica Mogherini,High,Josep Borrell,False
Franco-German Parliamentary Assembly,Yaël Braun-Pivet,,,False
Friends World Committee for Consultation,Carl Heath,,,False
Fédération Internationale de Billard,Georges Troffaes,medium,Ian Anderson,False
Fédération Internationale de Volleyball,Paul Libaud,,,False
Fédération Internationale de l'Automobile,Mohammed bin Sulayem,high,,False
GAMMA Federation,Carlo di Blasi,,,False
General Secretariat of the Council of the European Union,Thérèse Blanchet,high,Jeppe Tranholm-Mikkelsen,False
Global Bank,Ron Nechemia,,"1. Check the official website of Global Bank for the latest updates on their leadership.
2. Look up recent news articles or press releases from reputable sources that may mention the current leader of Global Bank.

If you have any more questions or need help with something else, feel free to ask!",False
Global Justice And Advancement Party,Albara Almerf,Low,Unknown,False
Global Young Academy,Koen Vermeir,,,False
Goethe-Institut,Carola Lentz,Low,Unknown,False
Group of the Alliance of Liberals and Democrats for Europe,Guy Verhofstadt,high,Dacian Cioloș,False
Group of the Party of European Socialists,Pauline Green,high,Stefan Löfven,True
Health for África,Shlomo Peretz,low,Dr. Matshidiso Moeti,True
Hillel International,Eric Fingerhut,High,,False
Human Rights Watch,James F. Hoge Jr.,high,,False
Human Rights Without Frontiers International,Willy Fautré,,,False
Human Rights in China,Sharon Hom,,,False
Identity and Democracy,Marco Zanni,high,Marco Zanni,True
"Identity, Tradition, Sovereignty",Bruno Gollnisch,,,False
Indian Ocean Commission,Hamada Madi,medium,Hamada Madi,False
IndustriALL European Trade Union,Michael Vassiliadis,high,Luc Triangle,True
IndustriALL Global Union,Jörg Hofmann,High,Valter Sanches,False
Inmarsat,Andrew Sukawaty,,,False
Intergovernmental Panel on Climate Change,Hoesung Lee,high,Hoesung Lee,False
Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,Ana María Hernández Salgar,medium,Ana María Hernández Salgar,False
International Academy of Sciences San Marino,Fabrizio Pennacchietti,,,False
International Association for Cryptologic Research,Christian Cachin,,,False
International Association for Political Science Students,Luca Martinelli,Low,Unknown,False
International Association for the Study of Pain,Claudia Sommer,low,Lars Arendt-Nielsen,False
International Association of Chess Press,Jordi Puig i Laborda,,,False
International Association of Conference Interpreters,Angela Keil,,,False
International Association of Exorcists,Karel Orlita,,,False
International Association of Prosecutors,Cheol-Kyu Hwang,Low,Not Available,False
International Association of Sound and Audiovisual Archives,Kurt Deggeller,Low,Not Available,False
International Association of Teachers of Russian Language and Literature,Lyudmila Verbitskaya,low,"I don't have access to real-time data and updates. My training data only goes up until 2022, and I do not have information on the current leader of the International Association of Teachers of Russian Language and Literature.",False
International Association of Visual Semiotics,Göran Sonesson,low,Unknown,False
International Astronomical Union,Debra Elmegreen,,,False
International Bank for Reconstruction and Development,Ajaypal Singh Banga,High,David Malpass,False
International Bobsleigh and Skeleton Federation,Robert H. Storey,high,Ivo Ferriani,True
International Boxing Association,Umar Nazarovich Kremlev,high,Umar Kremlev,True
International Brecht Society,Stephen Brockmann,,,False
International Canoe Federation,José Perurena,,,False
International Cartographic Association,Georg Gartner,Low,Not Available,False
International Catholic Conference of Scouting,Georges El Ghorayeb,Low,Not Found,False
International Centre for Migration Policy Development,Michael Spindelegger,high,Martijn Pluim,False
International Clarinet Association,Jerry Pierce,,,False
International Climbing and Mountaineering Federation,Peter Muir,Medium,Peter Muir,True
International Commission on the Protection of the Oder against Pollution,Janusz Zaleski,low,Not Found,False
International Committee of Slavists,Natalia Bernitskaïa,Low,Not Found,False
International Committee of the Red Cross,Mirjana Spoljaric Egger,high,Mirjana Spoljaric Egger,True
International Conference of Asian Political Parties,Jose de Venecia,high,Jose de Venecia Jr.,False
International Correspondence Chess Federation,Eric Ruch,High,"Mednis, A.",False
International Court of Justice,Joan Donoghue,low,Joan E. Donoghue,False
International Criminal Court,Tomoko Akane,High,Piotr Hofmański,False
International Criminal Tribunal for the former Yugoslavia,Theodor Meron,high,Serge Brammertz,False
International Federation of American Football,Tommy Wiking,Low,Not Found,False
International Federation of Landscape Architects,Geoffrey Jellicoe,,,False
International Federation of Language Teacher Associations,Charles Boulanger,,,False
International Federation of Library Associations and Institutions,Christine Deschamps,medium,Barbara Lison,False
International Federation of Red Cross and Red Crescent Societies,Kate Forbes,high,Jagan Chapagain,False
International Federation of Sport Climbing,Marco Maria Scolaris,high,Marco Scolaris,True
International Federation of Sports Medicine,Fabio Pigozzi,Low,Not Available,False
International Fencing Federation,Emmanuel Katsiadakis,high,Emmanuel Katsaridis,False
International Gymnastics Federation,Morinari Watanabe,,Morinari Watanabe,True
International Judo Federation,Marius Vizer,High,Marius Vizer,True
International Liaison Committee for Reunification and Peace of Korea International,Ali Musa-Kabia,,,False
International Luxembourg Forum on Preventing Nuclear Catastrophe,Viatcheslav Moshe Kantor,medium,Vladimir Dvorkin,False
International Maritime Organization,Arsenio Antonio Dominguez Velasco,High,,False
International Mathematical Union,Carlos Kenig,high,Carlos E. Kenig,False
International Mineralogical Association,Peter C. Burns,,,False
International National Trusts Organisation,Simon Molesworth,Low,Not Found,False
International Network for Government Science Advice,Rémi Quirion,,,False
International Olympic Committee,Kirsty Coventry,,,True
International Organisation of Vine and Wine,Yvette van der Merwe,High,Pau Roca,False
International Paralympic Committee,Andrew Parsons,High,,False
International Radiation Protection Association,Bernard Le Guen,,,False
International Renewable Energy Agency,Francesco La Camera,High,Francesco La Camera,True
International Science Council,B. Daya Reddy,high,Peter Gluckman,False
International Skating Union,Kim Jae-youl,,,False
International Ski and Snowboard Federation,Johan Eliasch,,,False
International Society for Plant Pathology,Jan E Leach,low,Dr. Sarah Gurr,False
International Society of the New Patrons,Alexander Koch,,,False
International Softball Federation,Gerry Snyder,high,Dale McMann,False
International Table Hockey Federation,Bjarne Axelsen,Medium,Petra Sörling,False
International Table Tennis Federation,Thomas Weikert,,,False
International Tribunal for the Law of the Sea,Jin-Hyun Paik,high,Judge Jin-Hyun Paik,False
International Union for Conservation of Nature,Razan Khalifa Al Mubarak,High,Bruno Oberle,False
International Union of Catholic Esperantists,Francisko de Paul Meštan,Low,Not Available,False
International Union of Prehistoric and Protohistoric Sciences,Jacek Kabaciński,Low,Not Found,False
International Union of Pure and Applied Physics,Michel Spiro,,,False
International Wheelchair Basketball Federation,Ulf Mehrens,,,False
Jenkins Commission,Roy Jenkins,Low,Unknown,False
Juncker Commission,Jean-Claude Juncker,High,Jean-Claude Juncker,True
Le Stelle di Marisa (Fondazione),Daniela Ferolla,,,False
League of Nations,Seán Lester,High,There is no current leader,True
League of the Islanders,Nesiarch,Low,Not Found,False
Lutheran World Federation,Anne Burghardt,low,Anna Schmidt,False
Marín Commission,Manuel Marín,High,Ursula von der Leyen,False
Mensa International,Bibiána Balanyi,,"1. Check the official website of Mensa International for the latest leadership information.
2. Look for news articles or press releases from reputable sources that may mention the current leader of Mensa International.

By doing so, you should be able to find the most up-to-date and accurate information on who is currently leading Mensa International.",False
Mercosur,Mario Abdo Benítez,Low,Not Available,False
Moroccan Youth Council for Diplomatic and International Cooperation,Moataz Kobry,,,False
Multilateral Investment Guarantee Agency,Keiko Honda,High,Hiroshi Matano,True
Muslim Brotherhood,Mohammed Badie,,,False
Médecins du Monde,Claude Moncorgé,,,False
NATO,Mark Rutte,High,Jens Stoltenberg,False
New Acropolis,Delia Steinberg Guzmán,,,False
New Development Bank,Dilma Rousseff,high,Marcos Troyjo,False
Non-Aligned Movement,Nicolás Maduro,high,Ilham Aliyev,False
Oceania Continent Handball Federation,Ricardo Blas,low,Not Available,False
Oceania Football Confederation,Lambert Maltock,High,,False
Office of the High Commissioner for Human Rights,Volker Türk,high,Volker Türk,True
Open Door International for the Economic Emancipation of the Woman Worker,Chrystal Macmillan,Low,Not Available,False
Organisation of Islamic Cooperation,Hissein Brahim Sem Taha,High,Hissein Brahim Taha,True
Organization for Cooperation of Railways,Tadeusz Szozda,high,Ömer Yıldız,False
Organization of American States,Luis Almagro,High,Luis Almagro,False
PEN International,Jennifer Clement,medium,Jennifer Clement,False
Pan American Health Organization,Carissa Etienne,High,Carissa F. Etienne,False
Pan-American Rugby Association,Agustín Pichot,High,Dan Payne,False
Panam Sports,Neven Ilic Álvarez,high,Neven Ilic,True
Parliamentary Assembly of Turkic States,Oral Muchamedschanow,medium,Márton Gyöngyösi,False
Parliamentary Assembly of the Council of Europe,Theodoros Roussopoulos,high,Tiny Kox,False
Parliamentary Assembly of the Organization for Security and Co-operation in Europe,Pia Kauma,medium,Margareta Kiener Nellen,False
Patriots for Europe,Jordan Bardella,,,False
Plazi,Donat Agosti,,,False
Pro-Natura International,Guy Reinaud,Low,Not found,False
Prodi Commission,Romano Prodi,,,False
Profintern,Solomon Lozovsky,Low,Unknown,False
Progressive Alliance of Socialists and Democrats,Iratxe García,,,False
Pueri Cantores,Jean Henric,Low,Unknown,False
RINGS - The International Research Association of Institutions of Advanced Gender Studies,Deevia Bhana,low,Not available,False
Renew Europe,Valérie Hayer,high,Stéphane Séjourné,False
Rotary International,Gordon McInally,,,False
Rugby Europe,Janhein Pieterse,High,,True
Réseau francophone international en conseil scientifique,Mathieu Ouimet,,,False
Santer Commission,Jacques Santer,High,Not Applicable,True
Socialist Group,Pierre-Olivier Lapie,Low,Not Available,False
Socialist Group in the European Parliament,Martin Schulz,high,Iratxe García Pérez,True
Sunni Students Council,Shafi Bin Khalid,,,False
Symposium of Episcopal Conferences of Africa and Madagascar,Fridolin Ambongo Besungu,low,Not available,False
The Green Group in the European Parliament,Alexander Langer,high,Philippe Lamberts and Ska Keller,False
The Greens–European Free Alliance,Terry Reintke,high,Philippe Lamberts and Ska Keller,False
The Left in the European Parliament - GUE/NGL,Manon Aubry,high,Manon Aubry and Martin Schirdewan (co-chairs),True
Thorn Commission,Gaston Thorn,,,False
Transparency International,François Valérian,High,Daniel Eriksson,False
Turkic Academy,Shahin Mustafayev,Low,Not Available,False
Turkic Culture and Heritage Foundation,Aqtoty Raiymqulova,high,Darkhan Kydyrali,False
UCLG Middle East and West Asia,Fatma Şahin,medium,"Mohamed Saadieh, Mayor of Mafraq Municipality, Jordan",False
UNIAPAC,Sigrid Marz,medium,Pradeep K. Jhawar,False
UNICEF,Henrietta H. Fore,high,Catherine M. Russell,True
Union Cycliste Internationale,David Lappartient,high,David Lappartient,True
Union Internationale des Fédérations des Amateurs de Billard,Charles Faroux,,,
Union of European Football Associations,Aleksander Čeferin,,,False
Union of Kansai Governments,Yoshinobu Nisaka,,,
United Cities and Local Governments of Africa,Khalifa Sall,medium,Christine Mhende Musisi,False
United Nations,António Guterres,high,,False
United Nations General Assembly,Dennis Francis,high,Csaba Kőrösi,False
United Nations Group of Experts on Geographical Names,Helen Kerfoot,,,False
United Nations Office for the Coordination of Humanitarian Affairs,Mark Lowcock,high,,False
United Nations Office on Sport for Development and Peace,Wilfried Lemke,medium,Wilfried Lemke,False
United Nations Secretariat,António Guterres,High,António Guterres,True
Universal Love and Brotherhood Association,Onisaburo Deguchi,,,False
West Asian Football Federation,Prince Ali bin Al-Hussein of Jordan,High,Ali Kafashian,False
Women's Forum for the Economy and Society,Anne-Gabrielle Heilbronner,high,Chiara Corazza,False
Women's International Democratic Federation,Freda Brown,,,False
Women's International League for Peace and Freedom,Sylvie Jacqueline Ndongmo,,,False
World Aquatics,Husain Al-Musallam,High,Husain Al-Musallam,True
World Bank,Ajaypal Singh Banga,High,,False
World Brotherhood Federation,John Clifford,,,False
World Confederation of Billiards Sports,Ian Anderson,,,False
World Constitution and Parliament Association,Sam Pitroda,,,False
World Federation of United Nations Associations,Park Soo-gil,low,Not Found,False
World Food Programme,Cindy McCain,High,David Beasley,False
World Heart Federation,Daniel José Piñeiro,Low,Not Available,False
World Jewish Congress,Ronald Lauder,High,Ronald Lauder,True
World League for Freedom and Democracy,Zhao Ziqi,Low,Not Available,False
World Mountain Running Association,Jonathan Wyatt,medium,Jonathan Wyatt,False
World Peace Council,Socorro Gomes,medium,Iraklis Tsavdaridis,False
World Rowing,Jean-Christophe Rolland,high,Jean-Christophe Rolland,True
World Rugby,Brett Robinson,high,Bill Beaumont,False
World Sailing,Quanhai Li,Medium,Quanhai Li,True
World Snooker Federation,Jason Ferguson,medium,Jason Ferguson,True
World Trade Organization,Ngozi Okonjo-Iweala,high,Ngozi Okonjo-Iweala,True
World Union,Mirra Alfassa,high,"There is no such organization as the ""World Union"" with a single leader.",True
World Uyghur Congress,Dolkun Isa,High,,False
World Wide Fund for Nature,Adil Najam,low,Pavan Sukhdev,False
World Women’s Snooker,Mandy Fisher,,Mandy Fisher but now it's Mink Nutcharut,False
World Zionist Organization,Yaakov Hagoel,high,Yaakov Hagoel,False
World Baseball Softball Confederation,Riccardo Fraccari,high,,False
Young Christian Workers,Laetitia M. Navarro,,,False
Young Pirates of Europe,Arnaldur Sigurðarson,,,False
