organizationLabel,officeholderLabel,prediction,confidence,answer,eval,outdated
African Development Bank,Akinwumi Adesina,"<think>
Okay, I need to figure out who the current leader of the African Development Bank is. Let's look at the search results provided.

The first result mentions Akinwumi Adesina as the current President of the African Development Bank. He was previously Nigeria's Minister of Agriculture. That seems pretty straightforward.

Another snippet from a biography states he's the 8th elected President, first elected on May 28, 2015. So that gives a specific date when he started his term.

The third result is from Wikipedia again, confirming Adesina took office on September 1, 2015. It aligns with the previous information about his election in May 2015 but mentions the oath-taking in September.

Looking at social media, his X account describes him as the President of the African Development Bank Group, which adds more credibility to his current role.
Andean Community,Guillermo Fernández de Soto,"<think>
Okay, so I need to figure out who the current leader of the Andean Community is. Let me go through the search results provided and piece together the information.

First, looking at the snippets, there are a few titles that mention leaders or secretaries general. The Wikipedia snippet mentions Jorge Hernando as Secretary General, but it's from 2006, which is pretty old. So maybe he's not the current one.

Another result talks about Peru assuming the Pro Tempore Presidency in August 2022 for the period 2022-2023. That seems more recent and relevant. The Pro Tempore President would likely be a key leader, so that's a good lead.

There's also a mention of Walker San Miguel Rodríguez being elected as Secretary General in January 2016. But I'm not sure if he's still in office because the other snippet from the Embassy of India doesn't have a date, but it might be older information.

Another result from August 2022 mentions Colombian President Gustavo Petro attending an Andean Community summit in Lima. He was newly elected around that time, so maybe he has some role now, but I'm not sure if he's the leader of CAN or just a participating president.

Looking at another snippet about the Andean Council of Foreign Ministers and the General Secretariat being in Lima without a current Secretary General, it seems like there might be a vacancy. But the Pro Tempore Presidency is held by Peru for 2022-2023, so perhaps their president is leading.

Wait, the user asked for the leader, which could refer to either the Secretary General or the Pro Tempore President. Since the Secretary General position is vacant (as per one snippet), maybe the current leader is the Pro Tempore President from Peru.

But I'm not entirely sure if the Pro Tempore Presidency is considered the 'leader' in the same way as the Secretary General. The more recent information points to Peru holding the presidency, so it's likely that their president or representative is leading CAN currently.

Putting it all together, the most recent and relevant info is from August 2022 where Peru took over the Pro Tempore Presidency, making their leader the current head of the Andean Community.
</think>

Answer: Peru's President (Pro Tempore), Confidence: medium",medium,Peru's President (Pro Tempore),True,True
Anti-Bolshevik Bloc of Nations,Yaroslav Stetsko,"<think>
Alright, I need to figure out who the current leader of the Anti-Bolshevik Bloc of Nations (ABN) is based on the provided search results. Let me go through each snippet carefully.

First, looking at the Wikipedia page for ABN, it mentions that Yaroslav Stetsko was the head until his death in 1986. That's a key point—Stetsko led the organization until he died. But since we're in 2025, I need to check if there's any information about who succeeded him after 1986.

The next snippet from ""Yaroslav Stetsko - Wikipedia"" also states that he was the head of ABN until his death in 1986. So, again, this confirms he led it until then but doesn't say anything beyond that date.

Another search result talks about a special operation against Stetsko, referring to him as the permanent President of ABN. It's from April 7, 2021, which is more recent, but it still refers to him in the past tense since he died in 1986.

There's a snippet mentioning that Yaroslav Stetsko was honoured in Ternopil on January 21, 2024, discussing his role as head of ABN. This seems to be a commemorative event rather than indicating current leadership.

Another result from July 2, 2022, describes ABN as a coordination center but doesn't provide info on the current leader. Similarly, other snippets discuss correspondence and meetings involving Stetsko, but all seem historical.

The most recent snippet is from February 1, 2025, showing Vice President George Bush meeting with Yaroslav Stetsko. Wait, that can't be right because Stetsko died in 1986. This might be a mistake or perhaps referring to someone else with the same name, but given all other info points to him being deceased, it's likely an error in the search result.

Putting this together, all reliable sources indicate that Yaroslav Stetsko was the leader until his death in 1986. There's no information provided about who took over after him. Therefore, based on the available data, it seems ABN doesn't have a current leader as of now, or at least the search results don't mention anyone else taking over. So, I can conclude that Yaroslav Stetsko is the known leader historically, but there's no info on a current one.
</think>

The information provided indicates that Yaroslav Stetsko was the leader until his death in 1986, with no details on a successor. 

Answer: Yaroslav Stetsko, Confidence: low",low,Yaroslav Stetsko,
Arab League,Secretary General of the Arab League,"<think>
Okay, I need to figure out who the current leader of the Arab League is based on the provided search results. Let me go through each result one by one.

The first search result from Wikipedia mentions that the Secretary-General is Ahmed Aboul Gheit and the Parliament Speaker is Ali Al-Daqbaashi. It also notes the Alexandria Protocol from 1945, but that's historical so probably not relevant for current leadership.

Next, the Council on Foreign Relations snippet talks about Nasser's leadership in the past, specifically mentioning his ascent to power in 1952. That's way back, so not current info.

The third result is from April 23, 2025, and discusses Mahmoud Riad as the third Secretary-General from 1972–79. Again, this seems historical, so maybe not the latest information unless it's a recent update about past leaders.

The fourth snippet is dated August 13, 2024, which is quite recent. It says that Ahmed Aboul Gheit was reappointed as Secretary General. That sounds like he's still in office now.

Another search result mentions Dr. Mohamed Ould Amar meeting with the Secretary-General but doesn't specify who it is. The date isn't provided, so I can't be sure if this is recent or not, but the other results have more concrete info.

The ICNL snippet from December 7, 2023, lists Ahmed Abul-Gheit as the Head of the Arab League's Secretariat. That's a clear indication and it's within the last year, so that's reliable.

Other results mention various historical or different aspects but don't provide current leadership details beyond what I've already noted.

Putting it all together, multiple sources from 2024 and 2023 confirm Ahmed Aboul Gheit as the Secretary-General. His reappointment in August 2024 suggests he's still serving now.
</think>

The current leader of the Arab League is Ahmed Aboul Gheit, who has been reappointed as Secretary-General.

Answer: Ahmed Aboul Gheit, Confidence: high",high,Ahmed Aboul Gheit,True
Arab Union of Judges,Ahmad al-Ashqar,"<think>
Okay, I need to figure out who the current leader of the Arab Union of Judges is. Let me look through the search results provided.

First, I see a result about the Union of Arab Constitutional Courts & Councils, mentioning Boulos FAHMY Iskandar as the Secretary-General. That's one possibility, but the title here is Secretary-General, not exactly ""leader."" 

Another result mentions Khaled Kabub, an Israeli-Arab justice in Israel's Supreme Court since 2022. He's a notable figure, but it doesn't say he leads the Arab Union of Judges.

Looking further, there's a snippet about Yemen joining the Executive Office of the Arab Constitutional Courts Union, which is from February 27, 2025. This seems recent and relevant, but it doesn’t name a specific leader.

Another result talks about Amir Ali becoming the first Arab American Muslim federal judge in the U.S., appointed by President Biden. While significant, this is more about an individual appointment rather than leading the Arab Union of Judges.

The search results don't explicitly mention the current leader's name. The most relevant info is Boulos FAHMY Iskandar as Secretary-General and Salem Alkawary as president of a Constitutional Court. Since the user asked for the leader, Secretary-General might be the closest role, but I'm not entirely sure if that's the top position.

Given the lack of clear information about the current leader, my confidence is low because the search results don't directly provide an answer to the question.
</think>

Answer: Boulos FAHMY Iskandar, Confidence: Low",low,Boulos FAHMY Iskandar,
Asian Athletics Association,Dahlan Jumaan al-Hamad,"<think>
Okay, so the user is asking who the current leader of the Asian Athletics Association is. I need to figure this out using the provided search results. Let me go through each result one by one.

First, there's a Wikipedia snippet that mentions Dahlan Jumaan al-Hamad as the current president since 2013, taking over after Suresh Kalmadi who was president from 2000 to 2013. That seems pretty solid, but I should check if there are more recent updates.

Next, another result from Qatar Tribune dated November 21, 2024, talks about Dahlan Al Hamad being the president and mentions something about a new phase in athletics development. This is recent, so it's a good sign he's still in office as of late 2024.

Another snippet from the Asian Athletics Association council lists Gen. Dahlan Al-Hamad as President, which reinforces that he's currently holding the position.

There's a more recent snippet dated April 29, 2025, where HE Dahlan Jumaan al-Hamad is referred to as the president, talking about an upcoming event in 2025. This is the most up-to-date info and confirms his current role.

Another result mentions Dahlan winning a third term by acclamation in December 7, 2023. That means he was re-elected around that time, so he's serving another term as president.

However, I also see a snippet about Suresh Kalmadi being re-elected for a second consecutive term, but the date isn't specified. Since other sources say Dahlan took over in 2013 and is still active as of 2025, this might be an older result or perhaps referring to a different position.

Additionally, there's a mention from World Athletics about member federations with various presidents, but nothing conflicting here.

Putting it all together, the most consistent and recent information points to Dahlan Jumaan al-Hamad being the current president. The latest dates are April 2025 and December 2023, which both confirm his position.
</think>

The current leader of the Asian Athletics Association is Dahlan Jumaan al-Hamad, who has been serving as President since 2013 and was recently re-elected for a third term in 2023.

Answer: Dahlan Jumaan al-Hamad, Confidence: High",High,Dahlan Jumaan al-Hamad,True
Asian Buddhist Conference for Peace,Gabji Demberel Choijamts,"<think>
Alright, so I need to figure out who the current leader of the Asian Buddhist Conference for Peace (ABCP) is. Let me go through the search results provided and see what information I can gather.

First, looking at the snippets, there's a mention that the 12th Asian Buddhist Conference for Peace declared His Holiness the Dalai Lama as the ""Universal Supreme Leader of the Buddhist World"" on January 23, 2024. That seems significant because it's a recent declaration and directly ties him to a leadership title within the conference.

Another snippet from January 25, 2024, states that the current president of ABCP is the Supreme Head of Mongolian Buddhists. However, this doesn't provide a specific name but indicates that the leader is from Mongolia.

There are multiple mentions of Vice President Jagdeep Dhankhar inaugurating the 12th General Assembly in New Delhi around January 2024. While he's a prominent figure, his role seems to be more as an inaugurator rather than the leader of ABCP itself.

Additionally, some older snippets mention other leaders like Gomboyev and Kushok Bakula Rinpoche, but those don't seem to be current as they're from earlier dates or don't specify their current positions.

Given that the Dalai Lama was declared the ""Universal Supreme Leader"" in 2024, which is more recent than some of the other snippets, it's likely that he holds a prominent leadership role within ABCP. The mention of the Mongolian leader being the president might refer to a different position or perhaps a shared leadership structure, but the most direct and recent information points to the Dalai Lama as the leader.

Therefore, based on the provided search results, the current leader is His Holiness the Dalai Lama.
</think>

The current leader of the Asian Buddhist Conference for Peace is declared to be His Holiness the Dalai Lama. 

Answer: His Holiness the Dalai Lama, Confidence: High",High,His Holiness the Dalai Lama,
Asian Development Bank,Masato Kanda,"<think>
Alright, I need to determine who the current leader of the Asian Development Bank is based on the provided search results.

Looking through the snippets, I see multiple references to Masato Kanda being elected as the 11th President. The most recent date mentioned is February 24, 2025, when he assumed office. Other snippets from March 12, 2025, and February 25, 2025, also confirm his position.

Earlier results mention Masatsugu Asakawa, but that seems to be outdated as the more recent information points to Masato Kanda taking over in 2025.

Therefore, the current leader is Masato Kanda.
</think>

Answer: Masato Kanda, Confidence: high",high,Masato Kanda,True
Asian Football Confederation,Salman Bin Ibrahim Al-Khalifa,"<think>
Okay, I need to figure out who the current leader of the Asian Football Confederation is. Let me go through the search results provided.

First result is from the-AFC.com. It mentions Shaikh Salman bin Ebrahim Al Khalifa as the President and talks about the importance of partnerships. The date isn't specified, but it's a primary source, so it's probably reliable.

The second result is from Wikipedia, listing the presidents. It shows Salman bin Ibrahim Al Khalifa as the incumbent since May 2, 2013. That's a clear indication he's been in office for a while now.

Third result is another Wikipedia page about AFC itself, which doesn't provide new info on leadership but confirms the organization's role.

Looking further, there are multiple snippets from April 2025 where Shaikh Salman is mentioned as the AFC President holding meetings and making statements. This shows he was active in that role very recently.

Another snippet mentions him opposing a South American request, again in April 2025. That's just a couple of months ago, so it's up-to-date.

There's also a result about him hoping for new leadership in Pakistan football, dated early April 2025. This further confirms his current position.

One result talks about his election as President, but the date is N/A. However, considering other sources have him active in 2025, it seems he's still serving.

All these sources consistently name Shaikh Salman bin Ebrahim Al Khalifa as the AFC President, with recent activity confirming he's still in office as of April 2025. Therefore, I can confidently say he is the current leader.
</think>

The current leader of the Asian Football Confederation is Shaikh Salman bin Ebrahim Al Khalifa.

Answer: Shaikh Salman bin Ebrahim Al Khalifa, Confidence: High",High,Shaikh Salman bin Ebrahim Al Khalifa,True
Asian Hockey Federation,Abdullah of Pahang,"<think>
Okay, so I need to figure out who the current leader of the Asian Hockey Federation is. Let me go through the search results provided step by step.

First, looking at the Wikipedia snippet, it mentions that the current president is Fumio Ogura and the patron is Al-Sultan Abdullah Sultan Ahmad Shah. That's a direct statement about the president.

Next, there's another result titled ""Meet the members"" which lists President Brig. Gen. Yus Adi Kamrullah. Hmm, that seems conflicting because it mentions someone else as president. But I should check if this information is recent or outdated.

Then, the AHF Board snippet again states that Dato' Fumio Ogura from Japan is the President. This reinforces the first result about him being the president.

The FIH Executive Board snippet says Fumio OGURA is the President of AHF with a term until 2027, elected in 2019. That seems pretty official and recent since his term goes up to 2027.

Another snippet from November 11, 2024, congratulates Tayyab Ikram on being re-elected as FIH president but also mentions Fumio Ogura as the AHF President. So that's a recent confirmation of him still holding the position.

In September 2024, Fumio Ogura is again mentioned as the President during an event, which adds more credibility to his current role.

There are two snippets about Tayyab Ikram being elected as FIH president in November 2022. However, that's about the International Hockey Federation, not directly affecting the AHF leadership unless there was a change. But since other recent results still mention Fumio Ogura as AHF President, it seems like he's still in charge.

The Facebook snippet from February 3, 2025, talks about appreciating Mr. Lee Sang-Hyun for his leadership as President, but this might be about a past role or another position within the federation, not necessarily indicating that Fumio Ogura is no longer president.

Considering all these points, most of the recent and reliable sources consistently mention Fumio Ogura as the current President of the Asian Hockey Federation. The conflicting information from ""Meet the members"" could be outdated or refer to a different role within the organization.
</think>

The current leader of the Asian Hockey Federation is Fumio Ogura, with consistent mentions across multiple recent and reliable sources confirming his position until 2027.

Answer: Fumio Ogura, Confidence: High",High,Fumio Ogura,True
Asian Infrastructure Investment Bank,Jin Liqun,"<think>
Alright, I'm trying to figure out who the current leader of the Asian Infrastructure Investment Bank (AIIB) is. Let me go through the search results provided.

First, I see multiple snippets mentioning Jin Liqun as the inaugural President and Chair of the Board. He was elected for a second term in 2020, which would last five years. That suggests his term might be ending around 2025.

Looking further, there are some recent articles from April 2025 stating that China has nominated Zou Jiayi as their candidate for the next president. This implies that Jin Liqun's term might be coming to an end, and a transition is happening.

However, none of the snippets explicitly say that Zou Jiayi has taken over yet. They only mention her nomination. Without confirmation of her appointment or inauguration, it's safer to assume Jin Liqun is still in office until his term officially ends.

So, based on this information, Jin Liqun remains the current president as of now, but there might be a change soon.
</think>

Answer: Jin Liqun, Confidence: medium",medium,Jin Liqun,True
Asian Parliamentary Assembly,Mustafa Şentop,"<think>
Okay, so I need to figure out who the current leader of the Asian Parliamentary Assembly (APA) is. Let me go through the search results provided step by step.

First, looking at the snippets from various sources, there's a bit of conflicting information. The first snippet mentions that Ms. Sahiba GAFAROVA from Azerbaijan was the President from 2024 to 2025. Then it lists Mr. Numan KURTULMUŞ and Mr. Mustafa Şentop for previous terms up until 2023.

Another source from Wikipedia says the current president is Mustafa Şentop, but that might be outdated since other snippets have more recent dates. 

Then I see a snippet from Bahrain being elected as president in February 2025. This seems significant because it's a recent date and mentions a new presidency starting for 2026. However, another source also mentions Sahiba Gafarova as the Chairwoman of APA during an event on February 19, 2025.

There's some confusion here. It looks like there might be a transition happening around early 2025 where Bahrain is taking over the presidency from Azerbaijan. The most recent snippets are from February 20 and 19, 2025, indicating that the leadership might have changed hands around that time.

Given that one snippet explicitly states Bahrain was elected president on Feb 20, 2025, for the term leading into 2026, it seems likely that Bahrain's representative is now the current leader. However, another snippet still refers to Sahiba Gafarova as Chairwoman during an event in February 2025, which might mean she was the outgoing president.

To resolve this, I think the most recent information points towards Bahrain holding the presidency starting in 2025. Therefore, despite some conflicting details, the current leader is from Bahrain.
</think>

The current leader of the Asian Parliamentary Assembly (APA) is from Bahrain, as they were elected to the presidency in February 2025.

Answer: Bahrain's representative, Confidence: medium",medium,Bahrain's representative,
Asian Shooting Confederation,Salman Sabah Al-Salem Al-Homoud Al-Sabah,"<think>
Okay, I need to figure out who the current leader of the Asian Shooting Confederation is. Let me look through these search results.

The first snippet lists the president as HE Sheikh Salman Al Sabah and mentions other vice presidents. Another result says he was elected in 2004 and moved the headquarters to Kuwait. Then there's a Facebook post from January 20, 2025, where Sheikh Salman extends congratulations, so that's recent. 

Another snippet from October 17, 2024, shows ISSF President Luciano Rossi meeting with him, which is also very recent. There are other mentions of his visits and meetings in 2023 and 2024, including a September 12, 2023, article where he was named president for another four-year term.

All the latest information up to January 2025 consistently refers to Sheikh Salman Al Sabah as the current president. So I'm confident that's correct.
</think>

The current leader of the Asian Shooting Confederation is HE Sheikh Salman Al Sabah, with consistent references across multiple recent sources confirming his position. 

Answer: HE Sheikh Salman Al Sabah, Confidence: High",High,HE Sheikh Salman Al Sabah,True
Assembly of European Regions,Albert Castellanos Maduell,"<think>
Okay, so I need to figure out who the current leader of the Assembly of European Regions is. Let me go through each search result carefully.

The first snippet says Albert Castellanos Maduell was elected President in June 2023. That seems pretty straightforward. Then there's another snippet mentioning Christian Spahr as Secretary General, but that's a different role, so I can ignore that for the leadership question.

Another result from February 8, 2024, has an interview with Albert Castellanos as President, which confirms he was in office at least until early 2024. 

Looking at LinkedIn snippets, they also list Albert Castellanos Maduell as President of the Assembly of European Regions without any indication that he's been replaced.

Then there's a Facebook snippet from March 28, 2025, talking about electing new leadership during their General Assembly on April 3-4, 2025. This suggests a change in leadership was happening around that time, but it doesn't specify who the new leader is. 

Wait, so Albert was elected in June 2023 and served until at least early 2024, as per the interview. The Facebook post from March 2025 mentions electing new leadership, implying that perhaps a new president has taken over. But none of the other snippets provide a name for this new leader.

The European Committee of the Regions' Wikipedia page lists Kata Tüttő as President starting in 2025, but that's a different organization. So I shouldn't confuse that with the Assembly of European Regions.

Given that the latest information is from March 28, 2025, and it mentions electing new leadership, but without naming who it is, I don't have confirmation that Albert has been replaced. The most recent specific mention of a president is still Albert Castellanos Maduell as of February 2024.

So my conclusion is that the current leader is likely still Albert Castellanos Maduell until there's an update with the new name after April 2025.
</think>

The current leader of the Assembly of European Regions is Albert Castellanos Maduell, elected in June 2023. 

Answer: Albert Castellanos Maduell, Confidence: Medium",Medium,Albert Castellanos Maduell,True
Association des bibliothécaires du Québec – Quebec Library Association (ABQLA),human,"<think>
Okay, so I need to figure out who the current leader of the Association des bibliothécaires du Québec – Quebec Library Association (ABQLA) is. Let me go through the search results provided.

First, looking at the snippets from each result:

1. The first snippet shows ""Our Team"" with Melissa Rivosecchi and Aeron MacHattie both listed as President. That's a bit confusing because usually an organization has one president at a time. Maybe they're co-presidents or it's a mistake.

2. Another snippet mentions Spyros Caragiannis as the 2022-2023 President, which suggests he was leading around that time. But we don't have information beyond that date.

3. The other results talk about various people in different roles but none clearly state who is currently serving as president now.

Since the most recent information provided is from May 22, 2024, in one of the snippets, but it doesn't mention a current leader's name. The snippet mentioning Spyros Caragiannis is from an unspecified date, possibly older than that. 

Given this confusion and lack of clear, up-to-date information, I can't confidently determine who the current leader is. Therefore, the confidence in providing an accurate answer is low.
</think>

The search results provide conflicting or outdated information regarding the current president of ABQLA. While Spyros Caragiannis was noted as the 2022-2023 President, there's no clear indication of the current leader. 

Answer: Spyros Caragiannis, Confidence: Low",low,Spyros Caragiannis,False
