organizationLabel,officeholderLabel,answer,Confidence,eval
Confederation of African Athletics,Hamad Kalkaba Malboum,Hamad Kalkaba Malboum,True
Confederation of African Football,Patrice Motsepe,Patrice Motsepe,High,True
Confederation of Independent Football Associations,Per-Anders Blind,Per-Anders Blind,medium,True
Confederation of Open Access Repositories,Martha Whitehead,"Martha Whitehead is not confirmed as current leader, however Isabel Bernal is mentioned as Chairperson of COAR and Kathleen Shearer is the Executive Director",medium,True
Confederation of Sahel States,Assimi Goïta,Assimi Goita,high,True
Conference of Committee Chairs of the European Parliament,Gerardo Galeote Quecedo,Bernd Lange,high,True
Confédération Européenne de Billard,Diane Wild,Diane Wild,high,True
Consultative Committee for Units,Joachim Ullrich,Prof. R.J.C. Brown or Joachim (First name not provided),medium,False
Council for German Orthography,Josef Lange,Not Found,medium,False
Council of Europe,Alain Berset,"Alain Berset is not correct answer for this question, The current leader of Council of Europe is actually Marija Pejčinović Burić's successor. However according to search results the new Secretary General name wasn't mentioned but it was mentioned that Alain Berset is expected to take the reins so I will go with the answer provided in one of the search results as no other information is available, Answer: Alain Berset (Note this might not be correct)",Low,False
Delegation of the European Union to Belarus,Dirk Schuebel,Steen Noerlov,high,True
Delegation of the European Union to Chad,Bertrand Soret,Przemyslaw Bobak,high,True
Delegation of the European Union to Japan,ambassador of the European Union to Japan,"M. Hannonen is not confirmed as the current leader but  Jean-Eric Paquet was mentioned in a more recent search result than the other potential candidate, therefore, Answer: Jean-Eric Paquet or possibly M. Hannonen (for further confirmation)",medium,True
Delegation of the European Union to Malaysia,ambassador of the European Union to Malaysia,Rafael Daerr,High,True
Delegation of the European Union to Moldova,Dirk Schuebel,Jānis Mažeiks,high,True
Delegation of the European Union to Turkey,Christian Berger,Thomas Ossowski,High,True
Delegation of the European Union to Ukraine,Hugues Mingarelli,Katarína Mathernová,high,True
Delegation of the European Union to the Holy See,Jan Tombiński,Martin Selmayr,high,True
Delegation of the European Union to the United States,ambassador of the European Union to the United States,Jovita Neliupsiene,High,True
Delors Commission I,Jacques Delors,Enrico Letta,high,False
East Asian Football Federation,Chung Mong-gyu,Chung Mong-gyu,High,False
Eastern Caribbean Supreme Court,Janice Pereira,Mario Michel,High,True
Ecclesial Conference of the Amazon,Pedro Ricardo Barreto Jimeno,Cardinal Pedro Barreto,high,True
Economic Community of West African States,Bola Ahmed Tinubu,Bola Ahmed Tinubu,high,False
Economic and Financial Committee,Tuomas Saarenheimo,Tuomas Saarenheimo,medium,True
Education International,Mugwena Maluleke,Mugwena Maluleke,high,True
Emergency Committee of Atomic Scientists,Albert Einstein,N/A (information not available),low,False
Eurogroup Working Group,Thomas Wieser,Tuomas Saarenheimo,high,True
Europe of Nations and Freedom,Marcel de Graaff,Nicolas Bay and Marcel de Graaff (co-presidents),medium,True
European Agency for the Management of Operational Cooperation at the External Borders,Ilkka Laitinen,Hans Leijtens,high,False
European Athletic Association,Dobromir Karamarinov,Dobromir Karamarinov,high,True
European Banking Authority,José Manuel Campa,José Manuel Campa is not the current leader of European Banking Authority. François-Louis Michaud is likely not the correct answer as well since there are more recent search results but they do not provide any information about a new Chairperson,medium,False
European Banking Federation,Ana Botín,Slawomir Krupa,high,True
European Border and Coast Guard Agency,Fabrice Leggeri,Hans Leijtens,high,True
European Central Bank,Christine Lagarde,Christine Lagarde,High,True
European Chess Union,Zurab Azmaiparashvili,Zurab Azmaiparashvili,high,True
European Coal and Steel Community,Jean Monnet,Not Found,low,False
European Commission,Ursula von der Leyen,Ursula von der Leyen,High,True
European Commission for the Efficiency of Justice,Ramin Qurbanov,Francesco Depasquale,high,True
European Council of Skeptical Organisations,Amardeo Sarma,Claire Klingenberg,High,False
European Court of Auditors,Tony Murphy,Tony Murphy,High,True
European Court of Justice,Koen Lenaerts,Koen Lenaerts,High,False
European Data Protection Board,Anu Talus,Anu Talus,high,True
European Defence Agency,Kaja Kallas,"Jiří Šedivý is the Chief Executive, however, the Head of the EDA is Kaja Kallas.",medium,True
European Democrats,James Scott-Hopkins,Oihane Agirregoitia,medium,False
European Digital Rights,Anna Fielder,Claire Fernandez,high,True
European Economic and Social Committee,Oliver Röpke,Oliver Röpke,high,True
European External Action Service,Kaja Kallas,Kaja Kallas,high,True
European Federation of Pharmaceutical Industries and Associations,Jean-Christophe Tellier,Not specified in the search results provided,low,False
European Handball Federation,Michael Wiederer,Michael Wiederer,High,True
European Insurance and Occupational Pensions Authority,Gabriel Bernardino,Petra Hielkema,high,True
European Karate Federation,Antonio Espinós,Antonio Espinós,high,True
European Parliament,Roberta Metsola,Roberta Metsola,high,True
European Parliament Committee on Agriculture and Rural Development,Czesław Siekierski,Veronika Vrecionová,High,True
European Parliament Committee on Budgetary Control,Ingeborg Gräßle,Niclas Herbst,high,True
European Parliament Committee on Budgets,Johan Van Overtveldt,Johan van Overtveldt,high,True
"European Parliament Committee on Civil Liberties, Justice and Home Affairs",Claude Moraes,Javier ZARZALEJOS,high,True
European Parliament Committee on Constitutional Affairs,Salvatore De Meo,Not available in the provided search results,low,False
European Parliament Committee on Culture and Education,Silvia Costa,Nela Riehl,high,True
European Parliament Committee on Development,Linda McAvan,Barry Andrews,high,True
European Parliament Committee on Employment and Social Affairs,Lucia Ďuriš Nicholsonová,Li Andersson,high,True
European Parliament Committee on Fisheries,Pierre Karleskind,Carmen Crespo Díaz,high,True
"European Parliament Committee on Industry, Research and Energy",Cristian Bușoi,Borys Budka,high,True
European Parliament Committee on Internal Market and Consumer Protection,Vicky Ford,Anna Cavazzini,high,True
European Parliament Committee on International Trade,Bernd Lange,Bernd Lange,High,True
European Parliament Committee on Legal Affairs,Adrián Vázquez Lázara,Ilhan Kyuchyuk,medium,True
European Parliament Committee on Petitions,Cecilia Wikström,Bogdan Rzońca (ECR),high,True
European Parliament Committee on Transport and Tourism,Karima Delli,Elissavet VOZEMBERG-VRIONIDI,high,True
"European Parliament Committee on the Environment, Public Health and Food Safety",Pascal Canfin,Antonio Decaro,high,True
European People's Party Group,Manfred Weber,Manfred Weber,High,True
European Public Prosecutor's Office,Laura Codruța Kövesi,Miranda DE MEIJER (likely incorrect due to incomplete information) or Laura Codruța Kövesi (contradicted by another snippet),low,False
European Research Council,Maria Leptin,Maria Leptin,high,True
European Rowing Confederation,Annamarie Stapleton,Annamarie Phelps,high,True
European Securities and Markets Authority,Verena Ross,"Natasha Cazenave is not the current leader of ESMA as per search results. However, it seems that the information about the current chair of ESMA is outdated in some sources (Natasha Cazenave and Verena Ross). The most recent reliable source should state who the current chair is, but since no such reliable source was found in the given snippets, we can't conclude a correct answer.",low,False
European Shooting Confederation,Vladimir Lisin,Alexander Ratner,high,True
European Space Agency,Josef Aschbacher,Josef Aschbacher,High,True
European Systemic Risk Board,Christine Lagarde,Christine Lagarde,High,True
European Training Foundation,Pilvi Torsti,Pilvi Torsti,high,True
European Union Agency for Fundamental Rights,Sirpa Rautio,Sirpa Rautio,high,False
European Union Agency for Railways,Josef Doppelbauer,Pio Guido (Interim),medium,False
European Union of Mountaineering Associations,Roland Stierle,Josef Klenner,high,True
European Writers' Council,Miguel Ángel Serrano,Miguel Ángel Serrano,high,True
Euroscience,Enric Banda,Not available in search results,low,False
FIDE,Arkady Dvorkovich,Arkady Dvorkovich,high,True
FIFA,Gianni Infantino Riovaldi,Gianni Infantino,High,True
Federazione Italiana Sportiva Istituti Attività Educative,Lodovico Morell S.J.,Manilo Parisse,high,True
Financial Stability Institute,Fernando Restoy,Fernando Restoy Lozano,,True
Focolare Movement,Margaret Karram,Margaret Karram,high,True
Foreign Affairs Council,Federica Mogherini,Kaja Kallas,high,True
Franco-German Parliamentary Assembly,Yaël Braun-Pivet,Bärbel Bas,medium,True
Friends World Committee for Consultation,Carl Heath,Tim Gee,high,True
Fédération Internationale de Billard,Georges Troffaes,Not found,low,False
Fédération Internationale de Volleyball,Paul Libaud,Fabio Azevedo,high,True
Fédération Internationale de l'Automobile,Mohammed bin Sulayem,Mohammed Ben Sulayem,high,True
GAMMA Federation,Carlo di Blasi,Alexander Engelhardt,high,True
General Secretariat of the Council of the European Union,Thérèse Blanchet,Thérèse Blanchet,High,True
Global Bank,Ron Nechemia,Ron Nechemia,high,False
Global Justice And Advancement Party,Albara Almerf,"Not Found,",low,False
Global Young Academy,Koen Vermeir,Priscilla Kolibea Mante and Felix Dapare Dakora,medium,False
Goethe-Institut,Carola Lentz,Prof. Dr. Gesche Joost,high,True
Group of the Alliance of Liberals and Democrats for Europe,Guy Verhofstadt,Stéphane Séjourné,high,False
Group of the Party of European Socialists,Pauline Green,Not mentioned,low,False
Health for África,Shlomo Peretz,Dr. Matshidiso Moeti,medium,False
Hillel International,Eric Fingerhut,Adam Lehman,High,True
Human Rights Watch,James F. Hoge Jr.,Tirana Hassan,Medium,False
Human Rights Without Frontiers International,Willy Fautré,Willy Fautré,High,True
Human Rights in China,Sharon Hom,Xi Jinping,High,False
Identity and Democracy,Marco Zanni,Jordan Bardella,high,False
"Identity, Tradition, Sovereignty",Bruno Gollnisch,Not Found,medium,False
Indian Ocean Commission,Hamada Madi,Edgard Razafindravahy,high,False
IndustriALL European Trade Union,Michael Vassiliadis,Not available in the search results,low,False
IndustriALL Global Union,Jörg Hofmann,Marie Nilsson,high,True
Inmarsat,Andrew Sukawaty,Not Found,,False
Intergovernmental Panel on Climate Change,Hoesung Lee,Jim Skea,High,True
Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,Ana María Hernández Salgar,Anne Larigauderie,medium,True
International Academy of Sciences San Marino,Fabrizio Pennacchietti,Amri Wandel,medium,False
International Association for Cryptologic Research,Christian Cachin,Brent Waters,low,False
International Association for Political Science Students,Luca Martinelli,"Dannica Battoon is mentioned as the Vice President and Head of Public Relations but the search results do not explicitly mention who the current leader or president of International Association for Political Science Students (IAPSS) is. However, it does provide information about other positions within the organization.",Low,False
International Association for the Study of Pain,Claudia Sommer,Andrew SC Rice,high,True
International Association of Chess Press,Jordi Puig i Laborda,Not mentioned in search results,low,False
International Association of Conference Interpreters,Angela Keil,"Damien Fan is not the current leader of International Association of Conference Interpreters as he was the Vice President and the search results do not contain a title of ""Current Leader"" or ""President"". However, Linda Fitchett was the president in 2012 but that information may be outdated. Unfortunately, none of the provided search engine results contain an up-to-date answer about who is the current leader.",low,False
International Association of Exorcists,Karel Orlita,Karel Orlita,high,True
International Association of Prosecutors,Cheol-Kyu Hwang,Juan Bautista Mahiques,medium,True
International Association of Sound and Audiovisual Archives,Kurt Deggeller,Patrick J Midtlyng,high,True
International Association of Teachers of Russian Language and Literature,Lyudmila Verbitskaya,Vladimir Tolstoy,high,True
International Association of Visual Semiotics,Göran Sonesson,José Luis Caivano,medium,False
International Astronomical Union,Debra Elmegreen,Catherine J. Cesarsky,medium,False
International Bank for Reconstruction and Development,Ajaypal Singh Banga,Ajay Banga,high,True
International Bobsleigh and Skeleton Federation,Robert H. Storey,Ivo Ferriani,High,True
International Boxing Association,Umar Nazarovich Kremlev,Umar Kremlev,High,True
International Brecht Society,Stephen Brockmann,Markus Wessendorf,High,True
International Canoe Federation,José Perurena,Thomas Konietzko,high,True
International Cartographic Association,Georg Gartner,Georg Gartner,high,True
International Catholic Conference of Scouting,Georges El Ghorayeb,Antoine Moussally,high,True
International Centre for Migration Policy Development,Michael Spindelegger,Michael Spindelegger,high,True
International Clarinet Association,Jerry Pierce,Catherine Wood,high,True
International Climbing and Mountaineering Federation,Peter Muir,Peter Muir,high,True
International Commission on the Protection of the Oder against Pollution,Janusz Zaleski,"Andrzej Żyłajtys (Polish delegation), Lukas Kehlenbach (German delegation) and Zuzana ...",high,True
International Committee of Slavists,Natalia Bernitskaïa,Andrii Krawchuk,medium,False
International Committee of the Red Cross,Mirjana Spoljaric Egger,Mirjana Spoljaric Egger,high,True
International Conference of Asian Political Parties,Jose de Venecia,Not specified in the search results,low,False
International Correspondence Chess Federation,Eric Ruch,Eric Ruch,medium,True
International Court of Justice,Joan Donoghue,Yuji Iwasawa,high,True
International Criminal Court,Tomoko Akane,Tomoko Akane,high,True
International Criminal Tribunal for the former Yugoslavia,Theodor Meron,Not available due to closure on 31 December 2017,High,True
International Federation of American Football,Tommy Wiking,Pierre Trochet,,True
International Federation of Landscape Architects,Geoffrey Jellicoe,Bruno Marques,High,True
International Federation of Language Teacher Associations,Charles Boulanger,Terry Lamb,medium,True
International Federation of Library Associations and Institutions,Christine Deschamps,Vicki McDonald,high,True
International Federation of Red Cross and Red Crescent Societies,Kate Forbes,Kate Forbes,high,True
International Federation of Sport Climbing,Marco Maria Scolaris,Marco Maria Scolaris,high,True
International Federation of Sports Medicine,Fabio Pigozzi,Prof. Fabio Pigozzi,medium,True
International Fencing Federation,Emmanuel Katsiadakis,Abdelmoneim El-Husseiny (Interim),high,True
International Gymnastics Federation,Morinari Watanabe,Morinari Watanabe,High,True
International Judo Federation,Marius Vizer,Marius Vizer,High,True
International Liaison Committee for Reunification and Peace of Korea International,Ali Musa-Kabia,Guy Dupre,medium,False
International Luxembourg Forum on Preventing Nuclear Catastrophe,Viatcheslav Moshe Kantor,Viatcheslav Moshe Kantor,high,True
International Maritime Organization,Arsenio Antonio Dominguez Velasco,Arsenio Dominguez,high,True
International Mathematical Union,Carlos Kenig,Hiraku Nakajima,high,True
International Mineralogical Association,Peter C. Burns,Eiji Ohtani,high,False
International National Trusts Organisation,Simon Molesworth,Catherine Leonard,high,True
International Network for Government Science Advice,Rémi Quirion,Prof Rémi Quirion,High,True
International Olympic Committee,Kirsty Coventry,Kirsty Coventry,high,True
International Organisation of Vine and Wine,Yvette van der Merwe,Yvette van der Merwe,High
International Paralympic Committee,Andrew Parsons,Andrew Parsons,high,True
International Radiation Protection Association,Bernard Le Guen,Christopher Clement,high,False
International Renewable Energy Agency,Francesco La Camera,Francesco La Camera,High,True
International Science Council,B. Daya Reddy,Sir Peter Gluckman,medium,True
International Skating Union,Kim Jae-youl,Jae Youl Kim,High,True
International Ski and Snowboard Federation,Johan Eliasch,Johan Eliasch,high,True
International Society for Plant Pathology,Jan E Leach,Jan E. Leach,medium,True
International Society of the New Patrons,Alexander Koch,Not Found,low,False
International Softball Federation,Gerry Snyder,N/A,low,False
International Table Hockey Federation,Bjarne Axelsen,Not Found,low,False
International Table Tennis Federation,Thomas Weikert,Petra Sörling,high,True
International Tribunal for the Law of the Sea,Jin-Hyun Paik,Tomas Heidar,high,True
International Union for Conservation of Nature,Razan Khalifa Al Mubarak,Razan Al Mubarak,high,True
International Union of Catholic Esperantists,Francisko de Paul Meštan,Marija Belošević,high,False
International Union of Prehistoric and Protohistoric Sciences,Jacek Kabaciński,François Djindjian,medium,False
International Union of Pure and Applied Physics,Michel Spiro,Silvina Ponce Dawson,high,True
International Wheelchair Basketball Federation,Ulf Mehrens,Ulf Mehrens,high,True
Jenkins Commission,Roy Jenkins,Kenneth Jenkins,medium,False
Juncker Commission,Jean-Claude Juncker,"Jean-Claude Juncker is no longer the current leader as his term has ended and he was succeeded by Ursula von der Leyen on December 2024 wasn't correct. The date that was mentioned to be accurate was January 31, 2025 so it is not possible for Ursula to be president in 2024 if Jean-Claude Juncker was still the leader after Jan 31, 2025.",Medium,False
Le Stelle di Marisa (Fondazione),Daniela Ferolla,Daniela Ferolla,high,True
League of Nations,Seán Lester,Not available,Low,False
League of the Islanders,Nesiarch,Not specified in the search results,low,False
Lutheran World Federation,Anne Burghardt,Henrik Stubkjær,High,True
Marín Commission,Manuel Marín,Sanna Marin,medium,False
Mensa International,Bibiána Balanyi,"Björn Liljeqvist (based on search results from before 2024) or Sylvia Lee (based on the most recent search result from Oct 16, 2024)",medium,False
Mercosur,Mario Abdo Benítez,Javier Milei,high,True
Moroccan Youth Council for Diplomatic and International Cooperation,Moataz Kobry,Nabil Belkass,medium,True
Multilateral Investment Guarantee Agency,Keiko Honda,Not specified,low,False
Muslim Brotherhood,Mohammed Badie,Salah Abdulhaq,high,True
Médecins du Monde,Claude Moncorgé,Dr Jean-François Corty,high,True
NATO,Mark Rutte,Jens Stoltenberg,High,True
New Acropolis,Delia Steinberg Guzmán,Carlos Adelantado Puchal,high,True
New Development Bank,Dilma Rousseff,Dilma Rousseff,High,True
Non-Aligned Movement,Nicolás Maduro,Yoweri Museveni,High,True
Oceania Continent Handball Federation,Ricardo Blas,Paul Smith,high,False
Oceania Football Confederation,Lambert Maltock,Lambert Maltock,High,True
Office of the High Commissioner for Human Rights,Volker Türk,Volker Türk,high,True
Open Door International for the Economic Emancipation of the Woman Worker,Chrystal Macmillan,Anna Westergaard,high,False
Organisation of Islamic Cooperation,Hissein Brahim Sem Taha,Hissein Brahim Taha,high,True
Organization for Cooperation of Railways,Tadeusz Szozda,Not Found,low,False
Organization of American States,Luis Almagro,Albert Ramdin,high,True
PEN International,Jennifer Clement,Burhan Sonmez,high,True
Pan American Health Organization,Carissa Etienne,Dr. Jarbas Barbosa,high,True
Pan-American Rugby Association,Agustín Pichot,Francisco Lee Lopez,Medium,False
Panam Sports,Neven Ilic Álvarez,Neven Ilic,high,True
Parliamentary Assembly of Turkic States,Oral Muchamedschanow,Sahiba Gafarova,high,True
Parliamentary Assembly of the Council of Europe,Theodoros Roussopoulos,Theodoros Rousopoulos,high,True
Parliamentary Assembly of the Organization for Security and Co-operation in Europe,Pia Kauma,Pia Kauma,high,True
Patriots for Europe,Jordan Bardella,Santiago Abascal,high,True
Plazi,Donat Agosti,Donat Agosti,medium,True
Pro-Natura International,Guy Reinaud,Marcelo de Andrade,Medium,True
Prodi Commission,Romano Prodi,"Not Found,",Low,False
Profintern,Solomon Lozovsky,Not available,low,False
Progressive Alliance of Socialists and Democrats,Iratxe García,Iratxe García Pérez,high,True
Pueri Cantores,Jean Henric,Jean Henric Béziers,medium,True
RINGS - The International Research Association of Institutions of Advanced Gender Studies,Deevia Bhana,Jessica Vega Ortega,medium,False
Renew Europe,Valérie Hayer,François Decoster,medium,False
Rotary International,Gordon McInally,Mário César Martins de Camargo,high,False
Rugby Europe,Janhein Pieterse,Janhein Pieterse,high,True
Réseau francophone international en conseil scientifique,Mathieu Ouimet,François Claveau,Medium,False
Santer Commission,Jacques Santer,Not available in search results,low,False
Socialist Group,Pierre-Olivier Lapie,Not Found,low,False
Socialist Group in the European Parliament,Martin Schulz,Iratxe García Pérez,high,True
Sunni Students Council,Shafi Bin Khalid,Noushad Aalam Misbahi,Medium,True
Symposium of Episcopal Conferences of Africa and Madagascar,Fridolin Ambongo Besungu,Fridolin Ambongo Besungu,high,True
The Green Group in the European Parliament,Alexander Langer,Terry Reintke and Bas Eickhout,high,True
The Greens–European Free Alliance,Terry Reintke,Bas Eickhout and Terry Reintke,high,True
The Left in the European Parliament - GUE/NGL,Manon Aubry,Manon Aubry,high,True
Thorn Commission,Gaston Thorn,Ursula von der Leyen,medium,False
Transparency International,François Valérian,Daniel Eriksson,high,False
Turkic Academy,Shahin Mustafayev,Shahin Mustafayev,High,True
Turkic Culture and Heritage Foundation,Aqtoty Raiymqulova,Aktoty Raimkulova,High,True
UCLG Middle East and West Asia,Fatma Şahin,"Ahmet Akın, Mayor of Balıkesir (Türkiye)",medium,False
UNIAPAC,Sigrid Marz,Sigrid MARZ,High,True
UNICEF,Henrietta H. Fore,Catherine Russell,High,True
Union Cycliste Internationale,David Lappartient,David Lappartient,high,True
Union Internationale des Fédérations des Amateurs de Billard,Charles Faroux,Not Found,low,False
Union of European Football Associations,Aleksander Čeferin,Aleksander Čeferin,High,True
Union of Kansai Governments,Yoshinobu Nisaka,Fumio Amano,Medium,False
United Cities and Local Governments of Africa,Khalifa Sall,Fatimetou Abdel Malick,high,True
United Nations,António Guterres,António Guterres,High,True
United Nations General Assembly,Dennis Francis,Not available in the search results,low,False
United Nations Group of Experts on Geographical Names,Helen Kerfoot,Pierre Jaillard,medium,True
United Nations Office for the Coordination of Humanitarian Affairs,Mark Lowcock,Tom Fletcher,high,True
United Nations Office on Sport for Development and Peace,Wilfried Lemke,Not Found,low,False
United Nations Secretariat,António Guterres,António Guterres,high,True
Universal Love and Brotherhood Association,Onisaburo Deguchi,Rev. Eiichi Suzuki,medium,True
West Asian Football Federation,Prince Ali bin Al-Hussein of Jordan,Prince Ali Bin Al Hussein,High,True
Women's Forum for the Economy and Society,Anne-Gabrielle Heilbronner,Nannette Lafond-Dufour,high,True
Women's International Democratic Federation,Freda Brown,Lorena Peña,high,True
Women's International League for Peace and Freedom,Sylvie Jacqueline Ndongmo,Sylvie Ndongmo,High,True
World Aquatics,Husain Al-Musallam,Husain Al-Musallam,High,True
World Bank,Ajaypal Singh Banga,Ajay Banga,high,True
World Brotherhood Federation,John Clifford,Not found,low,False
World Confederation of Billiards Sports,Ian Anderson,Farouk El Barki,medium,True
World Constitution and Parliament Association,Sam Pitroda,Sam Pitroda,high,False
World Federation of United Nations Associations,Park Soo-gil,Dr. Shawn Chen,High,True
World Food Programme,Cindy McCain,Cindy H. McCain,high,True
World Heart Federation,Daniel José Piñeiro,Daniel Piñeiro,high,False
World Jewish Congress,Ronald Lauder,Ronald S. Lauder,high,True
World League for Freedom and Democracy,Zhao Ziqi,Yao Eng-chi,medium,True
World Mountain Running Association,Jonathan Wyatt,Tomo Šarf,High,True
World Peace Council,Socorro Gomes,Pallab Sengupta,high,False
World Rowing,Jean-Christophe Rolland,Jean-Christophe Rolland,high,True
World Rugby,Brett Robinson,Brett Robinson,High,True
World Sailing,Quanhai Li,Quanhai Li,high,True
World Snooker Federation,Jason Ferguson,Jason Ferguson,High,True
World Trade Organization,Ngozi Okonjo-Iweala,Ngozi Okonjo-Iweala,High,True
World Union,Mirra Alfassa,"Tulia Ackson is not the leader of World Union, but rather Inter-Parliamentary Union. However, I couldn't find any information on ""World Union"" from the provided search results.",Low,False
World Uyghur Congress,Dolkun Isa,Turghunjan Alawudun,high,True
World Wide Fund for Nature,Adil Najam,Dr Adil Najam,high,True
World Women’s Snooker,Mandy Fisher,Mandy Fisher,medium,True
World Zionist Organization,Yaakov Hagoel,Tova Dorfman,high,True
World Baseball Softball Confederation,Riccardo Fraccari,Riccardo Fraccari,high,True
Young Christian Workers,Laetitia M. Navarro,Basma Louis,medium,False
Young Pirates of Europe,Arnaldur Sigurðarson,Šárka Václavíková,medium,False
