organizationLabel,officeholderLabel,confidence,answer,eval,outdated
Blue Shield International,Peter Stone,high,Peter Stone,True,False
Boeotian confederation,Boeotarch,High,There is no current leader.,False,True
Bureau of the European Parliament,Roberta Metsola,high,Roberta Metsola,True,False
CONCACAF,Victor Montagliani,High,Victor Montagliani,True,False
Caribbean Football Union,Randolph Harris,High,Lyndon Cooper,True,True
Caritas Europa,Erny Gillen,high,Michael Landau,True,True
Caritas Internationalis,Carl Vath,high,Archbishop Tarcisius Isao Kikuchi,True,True
Central American Football Union,Pedro Chaluja,high,Rafael Tinoco,True,True
Club of Rome,Mamphela Ramphele,high,Paul Shrivastava,True,True
Collective Security Treaty Organization,Alexander Lukashenko,high,Imangali Tasmagambetov,True,True
College of Cardinals,Giovanni Battista Re,high,Giovanni Battista Re,True,False
Comité Maritime International,Ann Fenech,high,Dr. Ann Fenech,True,False
Commission on Legal Empowerment of the Poor,Hernando de Soto,High,Unknown,False,True
Committee on Data for Science and Technology,Mercè Crosas,high,Mercè Crosas,True
Commonwealth of Nations,Charles III,high,King Charles III,True,False
Community of Portuguese Language Countries,Zacarias da Costa,,,False,True
Community of the Beatitudes,Anna-Katharina Pollmeyer,,,False,True
Confederación Nacional del Trabajo,Secretary General of the Confederación Nacional del Trabajo,,,False,True
Confederation of African Athletics,Hamad Kalkaba Malboum,High,Hamad Kalkaba Malboum,True,False
Confederation of African Football,Patrice Motsepe,High,Patrice Motsepe,True,False
Confederation of Independent Football Associations,Per-Anders Blind,medium,Ngala Maimo,False,True
Confederation of Open Access Repositories,Martha Whitehead,high,Kathleen Shearer,False,True
Confederation of Sahel States,Assimi Goïta,High,Colonel Assimi Goïta,False,True
Conference of Committee Chairs of the European Parliament,Gerardo Galeote Quecedo,High,Bernd Lange,True,True
Confédération Européenne de Billard,Diane Wild,high,Diane Wild,True,False
Consultative Committee for Units,Joachim Ullrich,High,Joachim Hermann Ullrich,False,True
Council for German Orthography,Josef Lange,High,Dr. Nanna Fuhrhop,True,True
Council of Europe,Alain Berset,medium,Alain Berset,False,True
Delegation of the European Union to Belarus,Dirk Schuebel,High,Steen Noerlov,True,True
Delegation of the European Union to Chad,Bertrand Soret,High,Przemysław Bobak,True,True
Delegation of the European Union to Japan,ambassador of the European Union to Japan,High,Jean-Eric Paquet,True,True
Delegation of the European Union to Malaysia,ambassador of the European Union to Malaysia,High,Rafael Daerr,True,True
Delegation of the European Union to Moldova,Dirk Schuebel,high,Jānis Mažeiks,True,True
Delegation of the European Union to Turkey,Christian Berger,high,Thomas Ossowski,True,True
Delegation of the European Union to Ukraine,Hugues Mingarelli,High,Katarína Mathernová,True,True
Delegation of the European Union to the Holy See,Jan Tombiński,high,Martin Selmayr,True,True
Delegation of the European Union to the United States,ambassador of the European Union to the United States,low,Jovita Neliupšienė,True,True
Delors Commission I,Jacques Delors,High,Enrico Letta,False,True
East Asian Football Federation,Chung Mong-gyu,high,Chung Mong-gyu,False,True
Eastern Caribbean Supreme Court,Janice Pereira,high,Mario Michel,True,True
Ecclesial Conference of the Amazon,Pedro Ricardo Barreto Jimeno,high,Pedro Barreto Jimeno SJ,False,True
Economic Community of West African States,Bola Ahmed Tinubu,high,Bola Ahmed Tinubu,False,True
Economic and Financial Committee,Tuomas Saarenheimo,medium,Tuomas Saarenheimo,True,False
Education International,Mugwena Maluleke,High,Mugwena Maluleke,True,False
Emergency Committee of Atomic Scientists,Albert Einstein,Low,Albert Einstein,True,True
Eurogroup Working Group,Thomas Wieser,high,Tuomas Saarenheimo,True,True
Europe of Nations and Freedom,Marcel de Graaff,medium,Nicolas Bay and Marcel de Graaff,True,False
European Agency for the Management of Operational Cooperation at the External Borders,Ilkka Laitinen,medium,Alexander Fritsch,True,True
European Athletic Association,Dobromir Karamarinov,high,Dobromir Karamarinov,True,False
European Banking Authority,José Manuel Campa,high,José Manuel Campa,True,False
European Banking Federation,Ana Botín,high,Slawomir Krupa,True,True
European Border and Coast Guard Agency,Fabrice Leggeri,High,Hans Leijtens,True,True
European Central Bank,Christine Lagarde,High,Christine Lagarde,True,False
European Chess Union,Zurab Azmaiparashvili,high,Zurab Azmaiparashvili,True,False
European Coal and Steel Community,Jean Monnet,High,The ECSC no longer exists,True,True
European Commission,Ursula von der Leyen,high,Ursula von der Leyen,True,False
European Commission for the Efficiency of Justice,Ramin Qurbanov,high,Francesco Depasquale,True,True
European Council of Skeptical Organisations,Amardeo Sarma,high,Claire Kroulik-Klingenberg,False,True
European Court of Auditors,Tony Murphy,High,Tony Murphy,True,False
European Court of Justice,Koen Lenaerts,high,Koen Lenaerts,True,False
European Data Protection Board,Anu Talus,High,Anu Talus,True,False
European Defence Agency,Kaja Kallas,High,Kaja Kallas,False,True
European Democrats,James Scott-Hopkins,high,Manfred Weber,False,True
European Digital Rights,Anna Fielder,high,Claire Fernandez,True,True
European Economic and Social Committee,Oliver Röpke,high,Oliver Röpke,True,False
European External Action Service,Kaja Kallas,High,Kaja Kallas,True,False
European Federation of Pharmaceutical Industries and Associations,Jean-Christophe Tellier,High,Lars Fruergaard Jørgensen,True,True
European Handball Federation,Michael Wiederer,High,Michael Wiederer,True,False
European Insurance and Occupational Pensions Authority,Gabriel Bernardino,high,Petra Hielkema,True,True
European Karate Federation,Antonio Espinós,High,Antonio Espinós,True,False
European Parliament,Roberta Metsola,high,Roberta Metsola,True,False
European Parliament Committee on Agriculture and Rural Development,Czesław Siekierski,medium,Veronika Vrecionová,True,True
European Parliament Committee on Budgetary Control,Ingeborg Gräßle,High,Niclas Herbst,True,True
European Parliament Committee on Budgets,Johan Van Overtveldt,high,Johan van Overtveldt,True,False
"European Parliament Committee on Civil Liberties, Justice and Home Affairs",Claude Moraes,high,Javier ZARZALEJOS,True,True
European Parliament Committee on Constitutional Affairs,Salvatore De Meo,low,Antonio Tajani,False,True
European Parliament Committee on Culture and Education,Silvia Costa,high,Nela Riehl,True,True
European Parliament Committee on Development,Linda McAvan,High,Barry Andrews,True,True
European Parliament Committee on Employment and Social Affairs,Lucia Ďuriš Nicholsonová,high,Li Andersson,True,True
European Parliament Committee on Fisheries,Pierre Karleskind,High,Carmen Crespo Díaz,True,True
"European Parliament Committee on Industry, Research and Energy",Cristian Bușoi,High,Borys Budka,True,True
European Parliament Committee on Internal Market and Consumer Protection,Vicky Ford,high,Anna Cavazzini,True,True
European Parliament Committee on International Trade,Bernd Lange,high,Bernd Lange,True,False
European Parliament Committee on Legal Affairs,Adrián Vázquez Lázara,High,Ilhan Kyuchyuk,True,True
European Parliament Committee on Petitions,Cecilia Wikström,high,Bogdan Rzońca,True,True
European Parliament Committee on Transport and Tourism,Karima Delli,High,Elissavet Vozemberg-Vrionidi,True,True
"European Parliament Committee on the Environment, Public Health and Food Safety",Pascal Canfin,high,Antonio Decaro,True,True
European People's Party Group,Manfred Weber,high,Manfred Weber,True,False
European Public Prosecutor's Office,Laura Codruța Kövesi,high,Laura Codruța Kövesi,True,False
European Research Council,Maria Leptin,high,Maria Leptin,True,False
European Rowing Confederation,Annamarie Stapleton,high,Annamarie Phelps,True,False
European Securities and Markets Authority,Verena Ross,medium,Natasha Cazenave,False,False
European Shooting Confederation,Vladimir Lisin,high,Alexander Ratner,True,True
European Space Agency,Josef Aschbacher,High,Josef Aschbacher,True,False
European Systemic Risk Board,Christine Lagarde,High,Christine Lagarde,True,False
European Training Foundation,Pilvi Torsti,High,Pilvi Torsti,True,False
European Union Agency for Fundamental Rights,Sirpa Rautio,high,Sirpa Rautio,False,True
European Union Agency for Railways,Josef Doppelbauer,High,Oana Gherghinescu,True,True
European Union of Mountaineering Associations,Roland Stierle,High,Josef Klenner,True,True
European Writers' Council,Miguel Ángel Serrano,medium,Maïa Bensimon,False,False
Euroscience,Enric Banda,medium,John Morrison,False,True
FIDE,Arkady Dvorkovich,High,Arkady Dvorkovich,True,False
FIFA,Gianni Infantino Riovaldi,high,Gianni Infantino,True,False
Federazione Italiana Sportiva Istituti Attività Educative,Lodovico Morell S.J.,medium,Manilo Parisse,True,True
Financial Stability Institute,Fernando Restoy,High,Fernando Restoy,True,False
Focolare Movement,Margaret Karram,high,Margaret Karram,True,False
Foreign Affairs Council,Federica Mogherini,High,Kaja Kallas,True,True
Franco-German Parliamentary Assembly,Yaël Braun-Pivet,low,Nils Schmid,False,True
Friends World Committee for Consultation,Carl Heath,high,Tim Gee,True,True
Fédération Internationale de Billard,Georges Troffaes,high,Mubarak Al-Khayareen,False,True
Fédération Internationale de Volleyball,Paul Libaud,high,Fabio Azevedo,True,True
Fédération Internationale de l'Automobile,Mohammed bin Sulayem,High,Mohammed Ben Sulayem,True,False
GAMMA Federation,Carlo di Blasi,High,Alexander Engelhardt,True,True
General Secretariat of the Council of the European Union,Thérèse Blanchet,high,Thérèse Blanchet,True,False
Global Bank,Ron Nechemia,high,Ron Nechemia,False,True
Global Justice And Advancement Party,Albara Almerf,Low,Recep Tayyip Erdoğan,True,True
Global Young Academy,Koen Vermeir,high,Priscilla Kolibea Mante,False,True
Goethe-Institut,Carola Lentz,high,Gesche Joost,False,True
Group of the Alliance of Liberals and Democrats for Europe,Guy Verhofstadt,High,Svenja Hahn,False,True
Group of the Party of European Socialists,Pauline Green,medium,Stefan Löfven,True,True
Health for África,Shlomo Peretz,High,Dr. Jean Kaseya,False,True
Hillel International,Eric Fingerhut,High,Adam Lehman,True,True
Human Rights Watch,James F. Hoge Jr.,High,Tirana Hassan,False,True
Human Rights Without Frontiers International,Willy Fautré,high,Willy Fautré,True,False
Human Rights in China,Sharon Hom,High,Xi Jinping,False,True
Identity and Democracy,Marco Zanni,medium,Jordan Bardella,False,False
"Identity, Tradition, Sovereignty",Bruno Gollnisch,High,None,False,True
Indian Ocean Commission,Hamada Madi,high,Edgard Razafindravahy,False,True
IndustriALL European Trade Union,Michael Vassiliadis,High,Luc Triangle,True,False
IndustriALL Global Union,Jörg Hofmann,High,Marie Nilsson,True,True
Inmarsat,Andrew Sukawaty,High,Mark Dankberg,False,True
Intergovernmental Panel on Climate Change,Hoesung Lee,High,Jim Skea,True,True
Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,Ana María Hernández Salgar,medium,Anne Larigauderie,True,True
International Academy of Sciences San Marino,Fabrizio Pennacchietti,medium,Amri Wandel,False,True
International Association for Cryptologic Research,Christian Cachin,medium,Brian LaMacchia,False,True
International Association for Political Science Students,Luca Martinelli,low,Jérôme Bonnafont,False,True
International Association for the Study of Pain,Claudia Sommer,High,Dr. Andrew SC Rice,True,True
International Association of Chess Press,Jordi Puig i Laborda,low,Not available in provided context,False,True
International Association of Conference Interpreters,Angela Keil,Low,Damien Fan,False,True
International Association of Exorcists,Karel Orlita,high,Karel Orlita,True,True
International Association of Prosecutors,Cheol-Kyu Hwang,medium,Juan Bautista Mahiques,True,True
International Association of Sound and Audiovisual Archives,Kurt Deggeller,High,Patrick J. Midtlyng,True,True
International Association of Teachers of Russian Language and Literature,Lyudmila Verbitskaya,high,Vladimir Tolstoy,True,True
International Association of Visual Semiotics,Göran Sonesson,high,José Luis Caivano,False,True
International Astronomical Union,Debra Elmegreen,high,Catherine J. Cesarsky,False,True
International Bank for Reconstruction and Development,Ajaypal Singh Banga,high,Ajay Banga,True,False
International Bobsleigh and Skeleton Federation,Robert H. Storey,High,Ivo Ferriani,True,True
International Boxing Association,Umar Nazarovich Kremlev,High,Umar Kremlev,True,False
International Brecht Society,Stephen Brockmann,high,Markus Wessendorf,True,True
International Canoe Federation,José Perurena,high,Thomas Konietzko,True,True
International Cartographic Association,Georg Gartner,High,Georg Gartner,True,False
International Catholic Conference of Scouting,Georges El Ghorayeb,High,Antoine Moussally,True,True
International Centre for Migration Policy Development,Michael Spindelegger,high,Michael Spindelegger,True,False
International Clarinet Association,Jerry Pierce,,,False,True
International Climbing and Mountaineering Federation,Peter Muir,high,Peter Muir,True,False
International Commission on the Protection of the Oder against Pollution,Janusz Zaleski,High,Andrzej Żyłajtys and Lukas Kehlenbach,False,True
International Committee of Slavists,Natalia Bernitskaïa,medium,Andrii Krawchuk,True,True
International Committee of the Red Cross,Mirjana Spoljaric Egger,High,Mirjana Spoljaric Egger,True,False
International Conference of Asian Political Parties,Jose de Venecia,medium,Hun Manet,True,True
International Correspondence Chess Federation,Eric Ruch,high,Eric Ruch,True,False
International Court of Justice,Joan Donoghue,High,Yuji Iwasawa,True,True
International Criminal Court,Tomoko Akane,High,Judge Tomoko Akane,True,False
International Criminal Tribunal for the former Yugoslavia,Theodor Meron,High,There is no current leader as the ICTY closed in 2017.,True,True
International Federation of American Football,Tommy Wiking,High,Pierre Trochet,True,True
International Federation of Landscape Architects,Geoffrey Jellicoe,high,Bruno Marques,True,True
International Federation of Language Teacher Associations,Charles Boulanger,medium,Terry Lamb,True,True
International Federation of Library Associations and Institutions,Christine Deschamps,High,Vicki McDonald,True,True
International Federation of Red Cross and Red Crescent Societies,Kate Forbes,High,Kate Forbes,True,False
International Federation of Sport Climbing,Marco Maria Scolaris,High,Marco Scolaris,True,False
International Federation of Sports Medicine,Fabio Pigozzi,medium,Prof. Fabio Pigozzi,True,False
International Fencing Federation,Emmanuel Katsiadakis,medium,Alisher Usmanov,True,True
International Gymnastics Federation,Morinari Watanabe,high,Morinari Watanabe,True,False
International Judo Federation,Marius Vizer,high,Marius Vizer,True,False
International Liaison Committee for Reunification and Peace of Korea International,Ali Musa-Kabia,Low,Guy Dupre,True,True
International Luxembourg Forum on Preventing Nuclear Catastrophe,Viatcheslav Moshe Kantor,High,Dr. Moshe Kantor,False,True
International Maritime Organization,Arsenio Antonio Dominguez Velasco,high,Arsenio Dominguez,True,False
International Mathematical Union,Carlos Kenig,high,Hiraku Nakajima,True,True
International Mineralogical Association,Peter C. Burns,high,Hans-Peter Schertl,True,True
International National Trusts Organisation,Simon Molesworth,medium,Catherine Leonard,True,True
International Network for Government Science Advice,Rémi Quirion,high,Rémi Quirion,True,False
International Olympic Committee,Kirsty Coventry,high,Kirsty Coventry,True,False
International Organisation of Vine and Wine,Yvette van der Merwe,high,Yvette van der Merwe,True,False
International Paralympic Committee,Andrew Parsons,High,Andrew Parsons,True,False
International Radiation Protection Association,Bernard Le Guen,High,Christopher Clement,False,True
International Renewable Energy Agency,Francesco La Camera,high,Francesco La Camera,True,False
International Science Council,B. Daya Reddy,high,Robbert Dijkgraaf,True,True
International Skating Union,Kim Jae-youl,High,Jae Youl Kim,True,False
International Ski and Snowboard Federation,Johan Eliasch,High,Johan Eliasch,True,False
International Society for Plant Pathology,Jan E Leach,medium,Jan E. Leach,True,False
International Society of the New Patrons,Alexander Koch,Low,Unknown,False,True
International Softball Federation,Gerry Snyder,High,Riccardo Fraccari,True,True
International Table Hockey Federation,Bjarne Axelsen,medium,Lars-Erik Svensson,False,False
International Table Tennis Federation,Thomas Weikert,high,Petra Sörling,True,True
International Tribunal for the Law of the Sea,Jin-Hyun Paik,high,Tomas Heidar,True,True
International Union for Conservation of Nature,Razan Khalifa Al Mubarak,High,Razan Al Mubarak,True,False
International Union of Catholic Esperantists,Francisko de Paul Meštan,high,Marija Belošević,True,True
International Union of Prehistoric and Protohistoric Sciences,Jacek Kabaciński,high,François Djindjian,False,False
International Union of Pure and Applied Physics,Michel Spiro,high,Silvina Ponce Dawson,True,True
International Wheelchair Basketball Federation,Ulf Mehrens,high,Ulf Mehrens,True,False
Jenkins Commission,Roy Jenkins,High,None,False,True
Juncker Commission,Jean-Claude Juncker,High,Jean-Claude Juncker,False,True
Le Stelle di Marisa (Fondazione),Daniela Ferolla,medium,Daniela Ferolla,True,False
League of Nations,Seán Lester,High,The League of Nations has no current leader as it was dissolved in 1946.,True,True
League of the Islanders,Nesiarch,medium,There is no current leader announced.,False,True
Lutheran World Federation,Anne Burghardt,High,Bishop Henrik Stubkjær,True,True
Marín Commission,Manuel Marín,medium,Mary Sackett,False,True
Mensa International,Bibiána Balanyi,high,Sylvia Lee,False,True
Mercosur,Mario Abdo Benítez,High,Javier Milei,True,True
Moroccan Youth Council for Diplomatic and International Cooperation,Moataz Kobry,,,False,False
Multilateral Investment Guarantee Agency,Keiko Honda,High,Hiroshi Matano,True,True
Muslim Brotherhood,Mohammed Badie,high,Salah Abdulhaq,True,True
Médecins du Monde,Claude Moncorgé,High,Dr. Jean-François Corty,True,True
NATO,Mark Rutte,High,Mark Rutte,False,True
New Acropolis,Delia Steinberg Guzmán,high,Carlos Adelantado Puchal,True,True
New Development Bank,Dilma Rousseff,high,Dilma Rousseff,True,False
Non-Aligned Movement,Nicolás Maduro,High,Yoweri Museveni,True,True
Oceania Continent Handball Federation,Ricardo Blas,medium,Paul Smith,False,False
Oceania Football Confederation,Lambert Maltock,High,Lambert Maltock,True,False
Office of the High Commissioner for Human Rights,Volker Türk,High,Volker Türk,True,False
Open Door International for the Economic Emancipation of the Woman Worker,Chrystal Macmillan,medium,Anna Westergaard,False,True
Organisation of Islamic Cooperation,Hissein Brahim Sem Taha,High,Hissein Brahim Taha,True,False
Organization for Cooperation of Railways,Tadeusz Szozda,medium,Miroslaw Antonowicz,True,True
Organization of American States,Luis Almagro,high,Albert Ramdin,True,True
PEN International,Jennifer Clement,High,Burhan Sönmez,True,True
Pan American Health Organization,Carissa Etienne,High,Dr. Jarbas Barbosa,True,True
Pan-American Rugby Association,Agustín Pichot,high,Agustín Pichot,True,False
Panam Sports,Neven Ilic Álvarez,high,Neven Ilic,True,False
Parliamentary Assembly of Turkic States,Oral Muchamedschanow,high,Sahiba Gafarova,True,True
Parliamentary Assembly of the Council of Europe,Theodoros Roussopoulos,High,Theodoros Rousopoulos,True,False
Parliamentary Assembly of the Organization for Security and Co-operation in Europe,Pia Kauma,high,Pia Liisa Kauma,True,False
Patriots for Europe,Jordan Bardella,High,Santiago Abascal,True,True
Plazi,Donat Agosti,medium,Juliana Wingert,False,False
Pro-Natura International,Guy Reinaud,high,Marcelo de Andrade,True,True
Prodi Commission,Romano Prodi,low,Romano Prodi,False,True
Profintern,Solomon Lozovsky,Low,None found,False,True
Progressive Alliance of Socialists and Democrats,Iratxe García,high,Iratxe García Pérez,True,False
Pueri Cantores,Jean Henric,high,Paul French,False,False
RINGS - The International Research Association of Institutions of Advanced Gender Studies,Deevia Bhana,medium,Jessica Vega Ortega,False,True
Renew Europe,Valérie Hayer,High,Valérie Hayer,True,False
Rotary International,Gordon McInally,low,Stephanie A. Urchick,True,True
Rugby Europe,Janhein Pieterse,high,Janhein Pieterse,True,False
Réseau francophone international en conseil scientifique,Mathieu Ouimet,medium,Mathieu Ouimet,False,True
Santer Commission,Jacques Santer,High,There is no current leader,False,True
Socialist Group,Pierre-Olivier Lapie,medium,Stephanie Cholensky and Pat Noble,False,True
Socialist Group in the European Parliament,Martin Schulz,High,Iratxe García Pérez,True,True
Sunni Students Council,Shafi Bin Khalid,low,Suhairudeen Nurani,False,True
Symposium of Episcopal Conferences of Africa and Madagascar,Fridolin Ambongo Besungu,medium,Fridolin Ambongo Besungu,True,False
The Green Group in the European Parliament,Alexander Langer,high,Terry Reintke and Bas Eickhout,True,True
The Greens–European Free Alliance,Terry Reintke,High,Bas Eickhout and Terry Reintke,True,False
The Left in the European Parliament - GUE/NGL,Manon Aubry,medium,Manon Aubry & Martin Schirdewan,True,False
Thorn Commission,Gaston Thorn,low,Gaston Thorn,False,True
Transparency International,François Valérian,high,Maísa Coutinho,False,False
Turkic Academy,Shahin Mustafayev,High,Shahin Mustafayev,True,False
Turkic Culture and Heritage Foundation,Aqtoty Raiymqulova,high,Aktoty Raimkulova,True,False
UCLG Middle East and West Asia,Fatma Şahin,high,Ahmet Metin,False,True
UNIAPAC,Sigrid Marz,high,Sigrid Marz,True,False
UNICEF,Henrietta H. Fore,High,Catherine Russell,True,True
Union Cycliste Internationale,David Lappartient,High,David Lappartient,True,False
Union Internationale des Fédérations des Amateurs de Billard,Charles Faroux,low,Raymond (Comte) de Drée,False,True
Union of European Football Associations,Aleksander Čeferin,High,Aleksander Čeferin,True,False
Union of Kansai Governments,Yoshinobu Nisaka,high,Fumio Amano,False,True
United Cities and Local Governments of Africa,Khalifa Sall,high,Fatimetou Abdel Malick,True,True
United Nations,António Guterres,high,António Guterres,True,False
United Nations General Assembly,Dennis Francis,high,Philémon Yang,False,False
United Nations Group of Experts on Geographical Names,Helen Kerfoot,high,Pierre Jaillard,True,True
United Nations Office for the Coordination of Humanitarian Affairs,Mark Lowcock,High,Tom Fletcher,,True
United Nations Office on Sport for Development and Peace,Wilfried Lemke,low,Wilfried Lemke,False
United Nations Secretariat,António Guterres,high,António Guterres,True,False
Universal Love and Brotherhood Association,Onisaburo Deguchi,high,Rev. Eiichi Suzuki,True,True
West Asian Football Federation,Prince Ali bin Al-Hussein of Jordan,high,HRH Prince Ali Bin Al Hussein,True,False
Women's Forum for the Economy and Society,Anne-Gabrielle Heilbronner,high,Nannette Lafond-Dufour,True,True
Women's International Democratic Federation,Freda Brown,high,Lorena Peña,True,True
Women's International League for Peace and Freedom,Sylvie Jacqueline Ndongmo,medium,Dr. Amrita Kapur,False,False
World Aquatics,Husain Al-Musallam,High,Husain Al-Musallam,True,False
World Bank,Ajaypal Singh Banga,High,Ajay Banga,True,False
World Brotherhood Federation,John Clifford,Low,Unknown,False,True
World Confederation of Billiards Sports,Ian Anderson,Medium,Farouk El Barki,True,True
World Constitution and Parliament Association,Sam Pitroda,high,Dr. Glen T. Martin,True,True
World Federation of United Nations Associations,Park Soo-gil,High,Dr. Shawn Chen,True,True
World Food Programme,Cindy McCain,High,Cindy H. McCain,True,False
World Heart Federation,Daniel José Piñeiro,medium,Daniel Piñeiro,False,True
World Jewish Congress,Ronald Lauder,High,Ronald S. Lauder,True,False
World League for Freedom and Democracy,Zhao Ziqi,high,Yao Eng-chi,True,True
World Mountain Running Association,Jonathan Wyatt,high,Tomo Šarf,True,True
World Peace Council,Socorro Gomes,High,Pallab Sengupta,False,False
World Rowing,Jean-Christophe Rolland,High,Jean-Christophe Rolland,True,False
World Rugby,Brett Robinson,high,Brett Robinson,True,False
World Sailing,Quanhai Li,high,Quanhai Li,True,False
World Snooker Federation,Jason Ferguson,High,Jason Ferguson,True,False
World Trade Organization,Ngozi Okonjo-Iweala,High,Ngozi Okonjo-Iweala,True,False
World Union,Mirra Alfassa,low,Not available from the provided context,False,True
World Uyghur Congress,Dolkun Isa,High,Turghunjan Alawudun,True,True
World Wide Fund for Nature,Adil Najam,high,Dr. Adil Najam,True,False
World Women’s Snooker,Mandy Fisher,High,Bai Yulu,False,False
World Zionist Organization,Yaakov Hagoel,medium,Tova Dorfman,True,True
World Baseball Softball Confederation,Riccardo Fraccari,High,Riccardo Fraccari,True,False
Young Christian Workers,Laetitia M. Navarro,High,Basma Louis,False,True
Young Pirates of Europe,Arnaldur Sigurðarson,high,Samuel Enenkl,True,True
